"search-number","evaluation","evals-requested-so-far","trust_low*","trust_high*","lie_low*","lie_high*","trust_fall_low*","trust_fall_high*","lie_fall_low*","lie_fall_high*","trust_rise_low*","trust_rise_high*","lie_rise_low*","lie_rise_high*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","469","500","0","20","0","20","0","3","0","2","0","1","0","3","""1593500449""","2.619217081850534","2.619217081850534","2.619217081850534","0","2.619217081850534"
"1","470","500","0","20","0","20","0","3","0","2","0","1","0","3","""-2095024431""","2.6462093862815883","2.6462093862815883","2.6462093862815883","0","2.6462093862815883"
"1","471","500","0","60","0","10","0","3","0","3","0","3","0","5","""-397113055""","23.06159420289855","23.06159420289855","23.06159420289855","0","23.06159420289855"
"1","472","500","0","60","0","10","0","3","0","3","0","3","0","5","""537092847""","24.21167883211679","24.21167883211679","24.21167883211679","0","24.21167883211679"
"1","473","500","0","60","0","10","0","3","0","3","0","3","0","5","""-2088491234""","22.975265017667844","22.975265017667844","22.975265017667844","0","22.975265017667844"
"1","474","500","0","60","0","10","0","3","0","3","0","3","0","5","""-1091608744""","24.375451263537904","24.375451263537904","24.375451263537904","0","24.375451263537904"
"1","475","500","0","60","0","10","0","3","0","3","0","3","0","5","""-1084592799""","24.052044609665426","24.052044609665426","24.052044609665426","0","24.052044609665426"
"1","476","500","0","60","0","10","0","3","0","3","0","3","0","5","""-1261731682""","23.28158844765343","23.28158844765343","23.28158844765343","0","23.28158844765343"
"1","477","500","0","60","0","10","0","3","0","3","0","3","0","5","""201615038""","22.42391304347826","22.42391304347826","22.42391304347826","0","22.42391304347826"
"1","478","500","0","60","0","10","0","3","0","3","0","3","0","5","""-1733485291""","21.71731448763251","21.71731448763251","21.71731448763251","0","21.71731448763251"
"1","479","500","0","60","0","10","0","3","0","3","0","3","0","5","""1219226172""","23.904255319148938","23.904255319148938","23.904255319148938","0","23.904255319148938"
"1","480","500","0","60","0","10","0","3","0","3","0","3","0","5","""-1876203319""","25.065934065934066","25.065934065934066","25.065934065934066","0","25.065934065934066"
"1","481","500","0","80","0","30","0","3","0","2","0","4","0","4","""-322276309""","80.08070175438597","80.08070175438597","80.08070175438597","0","80.08070175438597"
"1","482","500","0","80","0","30","0","3","0","2","0","4","0","4","""180148677""","32.41901408450704","32.41901408450704","32.41901408450704","0","32.41901408450704"
"1","483","500","0","80","0","30","0","3","0","2","0","4","0","4","""-44032776""","78.97818181818182","78.97818181818182","78.97818181818182","0","78.97818181818182"
"1","484","500","0","80","0","30","0","3","0","2","0","4","0","4","""818475576""","34.344202898550726","34.344202898550726","34.344202898550726","0","34.344202898550726"
"1","485","500","0","80","0","30","0","3","0","2","0","4","0","4","""2046038913""","49.61785714285714","49.61785714285714","49.61785714285714","0","49.61785714285714"
"1","486","500","0","80","0","30","0","3","0","2","0","4","0","4","""-351782816""","80.87943262411348","80.87943262411348","80.87943262411348","0","80.87943262411348"
"1","487","500","0","80","0","30","0","3","0","2","0","4","0","4","""-2100341477""","80.6418439716312","80.6418439716312","80.6418439716312","0","80.6418439716312"
